RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-05T20:57:00.135Z,REST,Unknown,POST,/fetchMovies,200,269.40,322695
2,2026-08-05T20:57:14.965Z,REST,Unknown,POST,/fetchMovies,200,214.96,322695
3,2026-08-05T20:58:07.812Z,REST,Unknown,POST,/fetchMovies,200,234.81,322695
4,2026-08-05T20:58:11.039Z,REST,Unknown,POST,/fetchMovies,200,223.18,322695
5,2026-08-05T20:58:14.454Z,REST,Unknown,POST,/fetchMovies,200,215.03,322695
6,2026-08-05T20:58:28.166Z,REST,Unknown,POST,/fetchMovies,200,220.67,322695
7,2026-08-05T20:58:32.135Z,REST,Unknown,POST,/fetchMovies,200,206.98,322695
8,2026-08-05T21:08:35.810Z,GraphQL,Unknown,POST,/graphql,200,350.73,319378
9,2026-08-05T21:08:41.433Z,GraphQL,Unknown,POST,/graphql,200,5988.85,39983295
10,2026-08-05T21:09:19.094Z,GraphQL,Unknown,POST,/graphql,200,396.09,319378
11,2026-08-05T21:09:24.857Z,GraphQL,Unknown,POST,/graphql,200,6166.18,39983295
12,2026-08-05T21:12:50.431Z,GraphQL,Unknown,POST,/graphql,200,390.29,319378
13,2026-08-05T21:12:56.493Z,GraphQL,Unknown,POST,/graphql,200,6456.18,39983295
14,2026-08-05T21:13:19.607Z,GraphQL,Unknown,POST,/graphql,200,350.28,319378
15,2026-08-05T21:13:25.277Z,GraphQL,Unknown,POST,/graphql,200,6023.69,39983295
16,2026-08-05T21:13:31.561Z,GraphQL,Unknown,POST,/graphql,200,367.36,319378
17,2026-08-05T21:13:37.447Z,GraphQL,Unknown,POST,/graphql,200,6256.94,39983295
18,2026-08-05T21:14:13.528Z,GraphQL,Unknown,POST,/graphql,200,383.11,319378
19,2026-08-05T21:14:19.288Z,GraphQL,Unknown,POST,/graphql,200,6149.69,39983295
20,2026-08-05T21:14:19.633Z,GraphQL,Unknown,POST,/graphql,200,342.72,319378
21,2026-08-05T21:14:25.848Z,GraphQL,Unknown,POST,/graphql,200,6558.50,39983295
22,2026-08-05T21:23:18.292Z,GraphQL,Unknown,POST,/graphql,200,159.80,4243
23,2026-08-05T21:23:23.920Z,GraphQL,Unknown,POST,/graphql,200,5790.21,39983295
24,2026-08-05T21:23:39.236Z,GraphQL,Unknown,POST,/graphql,200,166.33,4243
25,2026-08-05T21:23:44.742Z,GraphQL,Unknown,POST,/graphql,200,5678.05,39983295
26,2026-08-05T21:23:44.917Z,GraphQL,Unknown,POST,/graphql,200,171.44,4243
27,2026-08-05T21:23:50.404Z,GraphQL,Unknown,POST,/graphql,200,5659.44,39983295
